sample_id,model_id,term,estimate,std_error,statistic,p_value,ci_lower,ci_upper,n_observations,n_countries,entity_effects,year_effects,covariance_type
full_sample,entity_fe,const,4.4046882,0.7929989,5.5544695,3.1768044e-08,2.8494487,5.9599277,2009,104,True,False,clustered_entity
full_sample,entity_fe,GDP_k,0.070405612,0.084250775,0.83566723,0.40344715,-0.094828076,0.2356393,2009,104,True,False,clustered_entity
full_sample,entity_fe,GDP_sq,-0.0014525562,0.00090452436,-1.6058785,0.10846669,-0.0032265209,0.00032140839,2009,104,True,False,clustered_entity
full_sample,entity_fe,Rule_of_Law,-0.019225274,0.041024078,-0.46863392,0.63938506,-0.099682215,0.061231667,2009,104,True,False,clustered_entity
full_sample,entity_fe,Education_Tertiary,0.010686542,0.0087264407,1.2246164,0.22087152,-0.0064278638,0.027800949,2009,104,True,False,clustered_entity
full_sample,entity_year_fe,const,3.0934162,1.100317,2.8113864,0.0049840187,0.93544522,5.2513873,2009,104,True,True,clustered_entity
full_sample,entity_year_fe,GDP_k,0.1454088,0.10562913,1.3765976,0.16880062,-0.061753857,0.35257146,2009,104,True,True,clustered_entity
full_sample,entity_year_fe,GDP_sq,-0.0019483694,0.0011382561,-1.7117144,0.087114243,-0.0041807475,0.00028400881,2009,104,True,True,clustered_entity
full_sample,entity_year_fe,Rule_of_Law,-0.013139211,0.042537056,-0.30888858,0.75744051,-0.096564018,0.070285597,2009,104,True,True,clustered_entity
full_sample,entity_year_fe,Education_Tertiary,0.023047616,0.013864124,1.6623925,0.096600804,-0.0041430735,0.050238305,2009,104,True,True,clustered_entity
high_income,entity_fe,const,12.353064,3.0288355,4.0784861,5.0254118e-05,6.4069165,18.299211,784,41,True,False,clustered_entity
high_income,entity_fe,GDP_k,-0.0058160868,0.093656027,-0.062100507,0.95049958,-0.18967966,0.17804748,784,41,True,False,clustered_entity
high_income,entity_fe,GDP_sq,-0.00078196153,0.00097311836,-0.80356261,0.42190801,-0.0026923673,0.0011284443,784,41,True,False,clustered_entity
high_income,entity_fe,Rule_of_Law,-0.069596296,0.15011075,-0.463633,0.64304723,-0.3642906,0.22509801,784,41,True,False,clustered_entity
high_income,entity_fe,Education_Tertiary,-0.010947407,0.013935866,-0.78555631,0.43237925,-0.03830601,0.016411196,784,41,True,False,clustered_entity
high_income,entity_year_fe,const,3.52476,3.5310794,0.99821037,0.31851365,-3.4077144,10.457234,784,41,True,True,clustered_entity
high_income,entity_year_fe,GDP_k,0.22091057,0.20829632,1.0605592,0.28924691,-0.18803207,0.62985322,784,41,True,True,clustered_entity
high_income,entity_year_fe,GDP_sq,-0.0021887712,0.001733241,-1.2628199,0.20706387,-0.0055915972,0.0012140548,784,41,True,True,clustered_entity
high_income,entity_year_fe,Rule_of_Law,-0.029506356,0.1316,-0.22421243,0.8226558,-0.28787315,0.22886043,784,41,True,True,clustered_entity
high_income,entity_year_fe,Education_Tertiary,0.03893592,0.027504319,1.4156293,0.15731768,-0.01506258,0.092934419,784,41,True,True,clustered_entity
low_middle_income,entity_fe,const,-0.3758213,0.98340225,-0.38216437,0.70240957,-2.3052709,1.5536284,1225,63,True,False,clustered_entity
low_middle_income,entity_fe,GDP_k,0.87633555,0.35877949,2.4425464,0.014732745,0.17240493,1.5802662,1225,63,True,False,clustered_entity
low_middle_income,entity_fe,GDP_sq,-0.03685642,0.021765609,-1.6933329,0.090661077,-0.079560864,0.0058480236,1225,63,True,False,clustered_entity
low_middle_income,entity_fe,Rule_of_Law,-0.026458727,0.021937321,-1.2061057,0.22802311,-0.069500074,0.016582619,1225,63,True,False,clustered_entity
low_middle_income,entity_fe,Education_Tertiary,0.0050423249,0.0059255755,0.85094265,0.39497713,-0.0065837413,0.016668391,1225,63,True,False,clustered_entity
low_middle_income,entity_year_fe,const,-1.0477869,1.4190018,-0.73839715,0.46042553,-3.8319432,1.7363693,1225,63,True,True,clustered_entity
low_middle_income,entity_year_fe,GDP_k,1.0844409,0.49437523,2.1935583,0.028469069,0.1144507,2.0544311,1225,63,True,True,clustered_entity
low_middle_income,entity_year_fe,GDP_sq,-0.047102006,0.029205434,-1.6127822,0.10706933,-0.1044046,0.010200593,1225,63,True,True,clustered_entity
low_middle_income,entity_year_fe,Rule_of_Law,-0.032497238,0.026458888,-1.2282163,0.21961995,-0.084410968,0.019416492,1225,63,True,True,clustered_entity
low_middle_income,entity_year_fe,Education_Tertiary,0.0089026942,0.0073473252,1.2116919,0.2258821,-0.0055131442,0.023318533,1225,63,True,True,clustered_entity
