country,country_name,income_level_code,income_group,complete_years,first_complete_year,last_complete_year,included,exclusion_reason,coverage_rule,selected_country_set_sha256
ABW,Aruba,HIC,High Income,13,2004,2016,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
AFG,Afghanistan,LIC,Low and Middle Income,7,2003,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
AGO,Angola,LMC,Low and Middle Income,10,1998,2016,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ALB,Albania,UMC,Low and Middle Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
AND,Andorra,HIC,High Income,15,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ARE,United Arab Emirates,HIC,High Income,3,2018,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ARG,Argentina,UMC,Low and Middle Income,21,1998,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ARM,Armenia,UMC,Low and Middle Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ASM,American Samoa,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ATG,Antigua and Barbuda,HIC,High Income,4,2009,2012,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
AUS,Australia,HIC,High Income,6,2015,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
AUT,Austria,HIC,High Income,14,2007,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
AZE,Azerbaijan,UMC,Low and Middle Income,15,2006,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
