scope,variable,expected_rows,observed_rows,missing_count,missing_percentage,uniquely_excluded_rows
eligible_universe,GDP_per_capita,6727,6286,441,6.55567117586,35
eligible_universe,CO2_per_capita,6727,6311,416,6.18403448788,26
eligible_universe,Education_Tertiary,6727,3381,3346,49.7398543184,1617
eligible_universe,Rule_of_Law,6727,4463,2264,33.6554184629,679
retained_country_panel,GDP_per_capita,3224,3208,16,0.496277915633,0
retained_country_panel,CO2_per_capita,3224,3223,1,0.031017369727,0
retained_country_panel,Education_Tertiary,3224,2462,762,23.635235732,278
retained_country_panel,Rule_of_Law,3224,2287,937,29.0632754342,453
analytic_sample,GDP_per_capita,2009,2009,0,0,0
analytic_sample,CO2_per_capita,2009,2009,0,0,0
analytic_sample,Education_Tertiary,2009,2009,0,0,0
analytic_sample,Rule_of_Law,2009,2009,0,0,0
