scope,missing_variables,n_country_years,percentage,n_countries
eligible_universe,<none>,2614,38.85833209,184
eligible_universe,CO2_per_capita,26,0.3865021555,4
eligible_universe,CO2_per_capita;Education_Tertiary,116,1.724394232,8
eligible_universe,CO2_per_capita;Education_Tertiary;Rule_of_Law,102,1.516277687,14
eligible_universe,Education_Tertiary,1617,24.03746098,177
eligible_universe,Education_Tertiary;Rule_of_Law,1132,16.82770923,179
eligible_universe,GDP_per_capita,35,0.5202913632,4
eligible_universe,GDP_per_capita;CO2_per_capita,3,0.04459640256,1
eligible_universe,GDP_per_capita;CO2_per_capita;Education_Tertiary,12,0.1783856102,3
eligible_universe,GDP_per_capita;CO2_per_capita;Education_Tertiary;Rule_of_Law,152,2.259551063,11
eligible_universe,GDP_per_capita;CO2_per_capita;Rule_of_Law,5,0.07432733759,2
eligible_universe,GDP_per_capita;Education_Tertiary,40,0.5946187008,7
eligible_universe,GDP_per_capita;Education_Tertiary;Rule_of_Law,175,2.601456816,14
eligible_universe,GDP_per_capita;Rule_of_Law,19,0.2824438829,3
eligible_universe,Rule_of_Law,679,10.09365245,162
retained_country_panel,<none>,2009,62.31389578,104
retained_country_panel,CO2_per_capita;Education_Tertiary;Rule_of_Law,1,0.03101736973,1
retained_country_panel,Education_Tertiary,278,8.622828784,86
retained_country_panel,Education_Tertiary;Rule_of_Law,467,14.48511166,84
retained_country_panel,GDP_per_capita;Education_Tertiary;Rule_of_Law,16,0.4962779156,3
retained_country_panel,Rule_of_Law,453,14.05086849,99
analytic_sample,<none>,2009,100,104
