country,year,CO2_per_capita
ABW,1990,7.5609999999999999
ABW,1991,7.9809999999999999
ABW,1992,7.8179999999999996
ABW,1993,9.1229999999999993
ABW,1994,8.9760000000000009
ABW,1995,9.3610000000000007
ABW,1996,9.1950000000000003
ABW,1997,9.3490000000000002
ABW,1998,9.6199999999999992
ABW,1999,9.3629999999999995
ABW,2000,26.786999999999999
ABW,2001,26.652000000000001
ABW,2002,26.66
ABW,2003,27.741
ABW,2004,28.062999999999999
ABW,2005,28.809999999999999
ABW,2006,28.420000000000002
ABW,2007,29.204999999999998
ABW,2008,27.157
ABW,2009,26.526
ABW,2010,25.030000000000001
ABW,2011,24.706
ABW,2012,13.212
ABW,2013,8.3949999999999996
ABW,2014,8.4350000000000005
ABW,2015,8.6150000000000002
ABW,2016,8.4109999999999996
ABW,2017,8.4199999999999999
ABW,2018,8.1579999999999995
ABW,2019,7.7670000000000003
ABW,2020,7.641
AFG,1990,0.16800000000000001
AFG,1991,0.156
AFG,1992,0.112
AFG,1993,0.10000000000000001
AFG,1994,0.088999999999999996
AFG,1995,0.083000000000000004
AFG,1996,0.076999999999999999
AFG,1997,0.070999999999999994
AFG,1998,0.067000000000000004
AFG,1999,0.055
AFG,2000,0.051999999999999998
AFG,2001,0.052999999999999999
AFG,2002,0.063
AFG,2003,0.069000000000000006
AFG,2004,0.052999999999999999
AFG,2005,0.076999999999999999
AFG,2006,0.085000000000000006
AFG,2007,0.108
AFG,2008,0.161
AFG,2009,0.23300000000000001
AFG,2010,0.29599999999999999
AFG,2011,0.38900000000000001
AFG,2012,0.318
AFG,2013,0.28100000000000003
AFG,2014,0.26500000000000001
AFG,2015,0.27700000000000002
AFG,2016,0.248
AFG,2017,0.26100000000000001
AFG,2018,0.27700000000000002
AFG,2019,0.27500000000000002
AFG,2020,0.28499999999999998
AGO,1990,0.438
AGO,1991,0.42099999999999999
AGO,1992,0.41599999999999998
AGO,1993,0.44800000000000001
AGO,1994,0.85699999999999998
AGO,1995,0.92100000000000004
AGO,1996,1.0760000000000001
AGO,1997,1.083
AGO,1998,1.089
AGO,1999,1.1020000000000001
AGO,2000,0.98799999999999999
AGO,2001,0.94999999999999996
AGO,2002,0.92800000000000005
AGO,2003,0.97399999999999998
AGO,2004,0.91500000000000004
AGO,2005,0.79800000000000004
AGO,2006,0.85699999999999998
AGO,2007,0.84599999999999997
AGO,2008,0.86899999999999999
AGO,2009,0.92200000000000004
AGO,2010,0.98699999999999999
AGO,2011,0.96599999999999997
AGO,2012,1.03
AGO,2013,0.98299999999999998
AGO,2014,0.96099999999999997
AGO,2015,0.97699999999999998
AGO,2016,0.873
AGO,2017,0.78100000000000003
AGO,2018,0.74399999999999999
AGO,2019,0.68600000000000005
AGO,2020,0.495
ALB,1990,1.6839999999999999
ALB,1991,1.3069999999999999
ALB,1992,0.76700000000000002
ALB,1993,0.71299999999999997
ALB,1994,0.58799999999999997
ALB,1995,0.64100000000000001
ALB,1996,0.622
ALB,1997,0.47799999999999998
ALB,1998,0.54700000000000004
ALB,1999,0.93700000000000006
ALB,2000,0.95499999999999996
ALB,2001,1.0229999999999999
ALB,2002,1.196
ALB,2003,1.3799999999999999
ALB,2004,1.3480000000000001
ALB,2005,1.385
