country,year,Education_Tertiary
ABW,1990,
ABW,1991,
ABW,1992,
ABW,1993,
ABW,1994,
ABW,1995,
ABW,1996,
ABW,1997,
ABW,1998,
ABW,1999,25.633750915527301
ABW,2000,28.330339431762699
ABW,2001,28.860130310058601
ABW,2002,28.581689834594702
ABW,2003,30.3779106140137
ABW,2004,30.352689743041999
ABW,2005,36.204231262207003
ABW,2006,34.226871490478501
ABW,2007,34.896808624267599
ABW,2008,35.097061157226598
ABW,2009,34.430858612060497
ABW,2010,36.062530517578097
ABW,2011,37.864810943603501
ABW,2012,38.864181518554702
ABW,2013,17.125869750976602
ABW,2014,17.751899719238299
ABW,2015,16.731239318847699
ABW,2016,17.1416206359863
ABW,2017,
ABW,2018,
ABW,2019,
ABW,2020,
AFG,1990,2.21519994735718
AFG,1991,
AFG,1992,
AFG,1993,
AFG,1994,
AFG,1995,
AFG,1996,
AFG,1997,
AFG,1998,
AFG,1999,
AFG,2000,
AFG,2001,
AFG,2002,
AFG,2003,1.37434995174408
AFG,2004,1.3906400203704801
AFG,2005,
AFG,2006,
AFG,2007,
AFG,2008,
AFG,2009,3.93815994262695
AFG,2010,
AFG,2011,3.6868600845336901
AFG,2012,
AFG,2013,
AFG,2014,8.3976402282714808
AFG,2015,
AFG,2016,
AFG,2017,
AFG,2018,9.9959201812744105
AFG,2019,
AFG,2020,10.85435962677
AGO,1990,0.59491997957229603
AGO,1991,0.60505998134613004
AGO,1992,0.57332998514175404
AGO,1993,
AGO,1994,
AGO,1995,
AGO,1996,
AGO,1997,
AGO,1998,0.61365002393722501
AGO,1999,0.55462998151779197
AGO,2000,
AGO,2001,
AGO,2002,0.78364002704620395
AGO,2003,2.87620997428894
AGO,2004,2.1459701061248802
AGO,2005,2.6385600566864
AGO,2006,2.5597701072692902
AGO,2007,
AGO,2008,
AGO,2009,
AGO,2010,
AGO,2011,6.4400413828062897
AGO,2012,
AGO,2013,9.2233972017566206
AGO,2014,
AGO,2015,8.7832086803312102
AGO,2016,9.7828769623245293
AGO,2017,
AGO,2018,
AGO,2019,
AGO,2020,
ALB,1990,8.0117301940918004
ALB,1991,8.6383104324340803
ALB,1992,9.1252202987670898
ALB,1993,11.0173997879028
ALB,1994,10.4434404373169
ALB,1995,10.079480171203601
ALB,1996,11.0262098312378
ALB,1997,12.8083696365356
ALB,1998,13.6314601898193
ALB,1999,14.7700595855713
ALB,2000,15.3867101669312
ALB,2001,15.4820499420166
ALB,2002,16.389560699462901
ALB,2003,16.366239547729499
ALB,2004,19.129579544067401
ALB,2005,22.389009475708001
ALB,2006,26.210100173950199
ALB,2007,30.231929779052699
ALB,2008,31.6839599609375
ALB,2009,32.923988342285199
ALB,2010,43.327930450439503
ALB,2011,49.399704063992502
ALB,2012,58.621418600497897
ALB,2013,63.8440585382953
ALB,2014,65.550709686069595
ALB,2015,61.960848548105098
ALB,2016,58.488479190118902
ALB,2017,58.0177836674929
ALB,2018,56.080296410993803
ALB,2019,61.408514152714197
ALB,2020,61.585302432889897
AND,1990,
AND,1991,
AND,1992,
AND,1993,
AND,1994,
AND,1995,
AND,1996,
AND,1997,
AND,1998,
AND,1999,
AND,2000,
AND,2001,
AND,2002,7.3110599517822301
AND,2003,8.8286199569702095
AND,2004,8.7496700286865199
AND,2005,8.4153499603271502
AND,2006,9.8939104080200195
AND,2007,
AND,2008,10.986120223999
AND,2009,
AND,2010,
AND,2011,
AND,2012,12.870249017038001
AND,2013,14.540540540540499
AND,2014,13.539967373572599
AND,2015,13.8206896551724
AND,2016,15.2011095700416
AND,2017,15.6664896441848
AND,2018,15.7132150886835
AND,2019,15.435259692757899
AND,2020,15.2605749006777
ARE,1990,
ARE,1991,
ARE,1992,
ARE,1993,
ARE,1994,
ARE,1995,
ARE,1996,
ARE,1997,
ARE,1998,
ARE,1999,
ARE,2000,
ARE,2001,
ARE,2002,
ARE,2003,
ARE,2004,
ARE,2005,
ARE,2006,
ARE,2007,
ARE,2008,
ARE,2009,
ARE,2010,
ARE,2011,
ARE,2012,
