country,year,GDP_per_capita
ABW,1990,24763.653809938402
ABW,1991,25460.3630272927
ABW,1992,25743.445501002501
ABW,1993,25870.153396050398
ABW,1994,26581.976748899699
ABW,1995,26504.186418080899
ABW,1996,25779.597928224699
ABW,1997,26547.416607669598
ABW,1998,26418.088330272702
ABW,1999,26384.810593513699
ABW,2000,28104.8954362859
ABW,2001,29007.7386958774
ABW,2002,28535.463948022199
ABW,2003,28525.807706383901
ABW,2004,29959.774818958202
ABW,2005,29081.706699789702
ABW,2006,28885.911870046901
ABW,2007,29556.838468655402
ABW,2008,29870.664807700501
ABW,2009,26204.0597361984
ABW,2010,25429.2180974853
ABW,2011,26093.054208322701
ABW,2012,25444.7336646687
ABW,2013,26680.141120634202
ABW,2014,26773.822910239101
ABW,2015,27458.220153750601
ABW,2016,27587.249804048301
ABW,2017,28548.8904317739
ABW,2018,29419.208623316001
ABW,2019,29700.363467056501
ABW,2020,22718.229444500699
AFG,1990,
AFG,1991,
AFG,1992,
AFG,1993,
AFG,1994,
AFG,1995,
AFG,1996,
AFG,1997,
AFG,1998,
AFG,1999,
AFG,2000,308.31826974663801
AFG,2001,277.118051443941
AFG,2002,338.13997364338701
AFG,2003,346.07162709622298
AFG,2004,338.637273888197
AFG,2005,363.64014143677298
AFG,2006,367.75831169358003
AFG,2007,410.75772887909699
AFG,2008,417.647282647498
AFG,2009,488.83065249194902
AFG,2010,542.87103047603705
AFG,2011,525.42698276581996
AFG,2012,568.92902145834103
AFG,2013,580.60383333309596
AFG,2014,575.14624580854604
AFG,2015,565.56973040875096
AFG,2016,563.87233672314699
AFG,2017,562.76957414098797
AFG,2018,553.12515168829304
AFG,2019,557.86153320745905
AFG,2020,527.83455449930602
AGO,1990,2675.05239369334
AGO,1991,2612.3317051993299
AGO,1992,2380.5827421400099
AGO,1993,1752.7231866103
AGO,1994,1719.54294463666
AGO,1995,1912.51777520778
AGO,1996,2099.3504538325101
AGO,1997,2176.8775798399301
AGO,1998,2203.9869270140198
AGO,1999,2179.0642697319699
AGO,2000,2172.46326718726
AGO,2001,2189.1735215804802
AGO,2002,2404.9779207173501
AGO,2003,2403.4041515724198
AGO,2004,2583.3241146150799
AGO,2005,2843.3966357992099
AGO,2006,3065.0557624415501
AGO,2007,3336.3633246549098
AGO,2008,3559.1952251253801
AGO,2009,3494.8072446646802
AGO,2010,3540.7915956868101
AGO,2011,3528.16824373698
AGO,2012,3682.3522932307501
AGO,2013,3716.2971872759699
AGO,2014,3746.8161997893098
AGO,2015,3641.72893920253
AGO,2016,3505.5963468179202
AGO,2017,3378.0758810259799
AGO,2018,3246.8785714099699
AGO,2019,3105.5997124267201
AGO,2020,2847.2424157824298
ALB,1990,1682.8810874018
ALB,1991,1218.9642731736201
ALB,1992,1138.23773998809
ALB,1993,1254.6788841488799
ALB,1994,1367.2205896371199
ALB,1995,1558.9663856546099
ALB,1996,1683.7696554742399
ALB,1997,1495.90035328523
ALB,1998,1630.43874131845
ALB,1999,1841.8076276056599
ALB,2000,1991.91435867116
ALB,2001,2188.91854451375
ALB,2002,2297.1085351392398
ALB,2003,2428.6893465356302
ALB,2004,2567.2976368712102
ALB,2005,2712.8698383033102
ALB,2006,2894.3603258017401
ALB,2007,3105.8796756386
ALB,2008,3345.9816176147601
ALB,2009,3459.24695646692
ALB,2010,3579.8241318104601
ALB,2011,3677.89457937717
ALB,2012,3771.8478186201501
ALB,2013,3895.8997562194199
ALB,2014,4045.11934884933
ALB,2015,4199.5391292539798
ALB,2016,4431.55635814168
ALB,2017,4648.2307866065803
ALB,2018,4893.8237553871704
ALB,2019,5072.4364835473898
ALB,2020,4980.61699524696
AND,1990,31143.146875717201
AND,1991,29642.305981748101
AND,1992,28161.942493762701
AND,1993,26518.2336337044
AND,1994,26587.138304690099
AND,1995,27619.506061826702
AND,1996,28871.216075229699
AND,1997,31140.689681981301
AND,1998,31800.3640678661
AND,1999,32938.643741183201
AND,2000,34113.817378394902
AND,2001,36790.103708602197
AND,2002,38084.484310858898
AND,2003,39620.320160516101
AND,2004,40054.321153142097
AND,2005,40528.174862380001
AND,2006,41322.052921384602
AND,2007,40789.158969774799
AND,2008,37775.1261404342
AND,2009,35604.384009819601
AND,2010,36277.264442533102
AND,2011,37637.486834286603
AND,2012,36206.978435644603
AND,2013,35684.169434773699
AND,2014,37300.624419709602
AND,2015,38654.934721720703
AND,2016,40085.020598622003
AND,2017,39361.062264869899
AND,2018,39242.144897509897
AND,2019,39346.275035865001
AND,2020,34536.649922255601
ARE,1990,66481.589746643804
ARE,1991,63430.906618064997
ARE,1992,62201.818382812999
ARE,1993,59942.990798835097
ARE,1994,61156.7439104734
ARE,1995,62393.299324125001
ARE,1996,61871.421110981399
ARE,1997,61715.531199450197
ARE,1998,57355.896505409597
ARE,1999,54943.770569469001
ARE,2000,56939.3600767998
ARE,2001,54169.413570156503
ARE,2002,52216.831833817501
ARE,2003,53619.166287595799
ARE,2004,55611.437634412498
ARE,2005,55363.581819699801
ARE,2006,56629.971311754503
ARE,2007,52038.622939312198
ARE,2008,47922.6941430472
ARE,2009,42672.194622262701
ARE,2010,42328.846681859999
ARE,2011,43687.791942454598
ARE,2012,43958.577967071302
ARE,2013,44312.632046350504
ARE,2014,44257.665208545099
ARE,2015,44910.345886077601
ARE,2016,45168.4955973912
ARE,2017,43293.020236076503
ARE,2018,43377.802601486001
ARE,2019,43468.453470501299
ARE,2020,39878.466389638903
ARG,1990,8115.0938637075296
ARG,1991,8729.8231851889195
ARG,1992,9293.1869225174796
ARG,1993,9920.6735858243701
ARG,1994,10359.8927204871
ARG,1995,9934.1077613951493
ARG,1996,10352.1400002191
ARG,1997,11056.688133100201
ARG,1998,11348.2022124673
ARG,1999,10838.319934638699
ARG,2000,10631.6503639029
ARG,2001,10051.944846304301
ARG,2002,8861.5619928227807
ARG,2003,9545.5319411999408
ARG,2004,10302.4465316428
ARG,2005,11099.7509190602
ARG,2006,11870.2791559298
ARG,2007,12811.9021206578
ARG,2008,13197.357026702901
ARG,2009,12285.378465186501
ARG,2010,13387.155374845801
ARG,2011,14040.618912444401
ARG,2012,13754.4254235596
ARG,2013,13946.0950832252
ARG,2014,13456.131915915101
ARG,2015,13679.6264980954
ARG,2016,13265.8860639123
ARG,2017,13520.1129846159
ARG,2018,13058.3285449954
ARG,2019,12706.3978108968
ARG,2020,11393.050595787699
ARM,1990,1644.0221450215799
ARM,1991,1426.8279135714399
ARM,1992,840.20525917740201
ARM,1993,792.56785924638098
ARM,1994,857.39447481296895
ARM,1995,932.35782947180701
ARM,1996,995.72827531987195
ARM,1997,1039.0798243009001
ARM,1998,1128.0988884522701
ARM,1999,1180.45341995952
ARM,2000,1229.2151043610199
ARM,2001,1351.1207269455499
ARM,2002,1535.20452885187
ARM,2003,1759.6468482938601
ARM,2004,1955.22262459229
ARM,2005,2240.0927320978799
ARM,2006,2551.4354635845202
ARM,2007,2919.3734936372998
ARM,2008,3141.33193500774
ARM,2009,2716.9743628047099
ARM,2010,2796.0814342804301
ARM,2011,2943.8368711931498
ARM,2012,3159.7586078688901
ARM,2013,3266.2988299987301
ARM,2014,3393.0925232688401
ARM,2015,3512.39350276709
ARM,2016,3533.8850360700699
ARM,2017,3815.3747426036998
ARM,2018,4027.8339301097899
ARM,2019,4343.4583958301901
ARM,2020,4032.0904345495501
ASM,1990,
ASM,1991,
ASM,1992,
ASM,1993,
ASM,1994,
ASM,1995,
ASM,1996,
ASM,1997,
ASM,1998,
ASM,1999,
ASM,2000,
ASM,2001,
ASM,2002,13054.6364326897
ASM,2003,13201.734751616599
ASM,2004,13291.535662685101
ASM,2005,13284.2791128875
ASM,2006,12794.7565021718
ASM,2007,13092.3111393408
ASM,2008,12809.463307968301
ASM,2009,12342.057538401599
ASM,2010,12446.308626501501
ASM,2011,12521.809505864399
ASM,2012,12068.266737498299
ASM,2013,11871.7937192729
ASM,2014,12203.0894714284
ASM,2015,12727.4102651386
ASM,2016,12665.2829921268
ASM,2017,11930.777123682599
ASM,2018,12412.602407456199
ASM,2019,12524.0160252283
ASM,2020,13194.274740127999
ATG,1990,13166.5241173582
ATG,1991,13385.0114363295
ATG,1992,13326.272879649599
ATG,1993,13776.8264136781
ATG,1994,14420.4693979194
ATG,1995,13519.5287711166
ATG,1996,14117.8679127333
ATG,1997,14588.3079841576
ATG,1998,14991.780261068399
ATG,1999,15282.973398590701
ATG,2000,15961.0918359058
ATG,2001,15003.4389169034
ATG,2002,14968.070301388299
ATG,2003,15703.934714549099
ATG,2004,16433.413054148299
ATG,2005,17301.213431751799
ATG,2006,19259.6486517907
ATG,2007,20770.268973284401
ATG,2008,20464.786306605001
ATG,2009,17746.700856040999
ATG,2010,16135.397384487
ATG,2011,15633.909113182101
ATG,2012,15989.3900199779
ATG,2013,15748.195202422599
ATG,2014,15967.284996712
ATG,2015,16077.6340769406
ATG,2016,16635.895232831001
ATG,2017,16992.932749523599
ATG,2018,18042.159643572701
ATG,2019,18525.258890716701
ATG,2020,14950.894239720799
AUS,1990,36975.419900790803
AUS,1991,36366.696239761201
AUS,1992,36117.544650344098
AUS,1993,37246.004433236303
AUS,1994,38356.769197669302
AUS,1995,39407.5647528439
AUS,1996,40437.094186485701
AUS,1997,41569.165367939102
AUS,1998,43081.720171817899
AUS,1999,44755.659972131798
AUS,2000,45979.076565404801
AUS,2001,46314.623529796801
AUS,2002,47599.407928931199
AUS,2003,48509.663218036301
AUS,2004,50018.590448386101
AUS,2005,50972.640519744004
AUS,2006,51682.892523053699
AUS,2007,52671.325846724001
AUS,2008,53497.275355341997
AUS,2009,53430.527478165102
AUS,2010,53768.349733440999
AUS,2011,54296.232132481397
AUS,2012,55465.446287257699
AUS,2013,55966.1509270561
AUS,2014,56571.806252443697
AUS,2015,56970.361302809397
AUS,2016,57632.999592559398
AUS,2017,57991.771347333
AUS,2018,58772.706315221301
AUS,2019,59181.299790413097
AUS,2020,58377.767051780203
AUT,1990,31167.185797869799
AUT,1991,31919.557352027801
AUT,1992,32231.121614152202
AUT,1993,32134.829913593701
AUT,1994,32780.341942336898
AUT,1995,33603.427826355801
AUT,1996,34301.656215138202
AUT,1997,34998.032117393399
AUT,1998,36180.749057126501
AUT,1999,37468.869886979403
AUT,2000,38571.0858780001
AUT,2001,38929.753800544997
AUT,2002,39313.722510754502
AUT,2003,39569.288556732899
AUT,2004,40333.330718389399
AUT,2005,40989.013177897497
AUT,2006,42120.155700202202
AUT,2007,43568.8302243941
AUT,2008,44063.864201991601
AUT,2009,42372.4758254763
AUT,2010,43035.407353193303
AUT,2011,44146.195680529403
AUT,2012,44221.459953089303
AUT,2013,43851.367549740396
AUT,2014,43838.8345892137
AUT,2015,43915.228020857001
AUT,2016,44362.6702805116
AUT,2017,45056.638591241201
AUT,2018,45951.581916403396
AUT,2019,46550.562245949201
AUT,2020,43428.698313723398
AZE,1990,2866.41060718579
AZE,1991,2808.7274444490599
AZE,1992,2141.3400383701701
AZE,1993,1621.9180939560699
AZE,1994,1284.9555507345799
AZE,1995,1120.30867792344
AZE,1996,1123.4479384450401
AZE,1997,1177.1968599023201
AZE,1998,1282.68413749503
AZE,1999,1365.56585147028
AZE,2000,1504.7310670603499
AZE,2001,1640.93664540398
AZE,2002,1782.47319183639
AZE,2003,1949.6060841733099
AZE,2004,2111.4533834475001
AZE,2005,2674.3688564996
AZE,2006,3556.8321285813299
AZE,2007,4412.2032611793202
AZE,2008,4778.12452736673
AZE,2009,5118.4339549468696
AZE,2010,5300.1104872906199
AZE,2011,5149.2066591320599
AZE,2012,5193.1750111955198
AZE,2013,5425.9955978057797
AZE,2014,5508.6026561267599
AZE,2015,5500.5036462848602
AZE,2016,5272.7181714186099
AZE,2017,5229.2525999341296
AZE,2018,5261.9293823443204
AZE,2019,5346.9531860411398
AZE,2020,5087.5002278362699
BDI,1990,373.24524168799201
BDI,1991,383.87035858919103
BDI,1992,377.51831969787401
BDI,1993,365.28201227170501
BDI,1994,349.01624923776802
BDI,1995,302.70184452460398
BDI,1996,278.29347986698298
BDI,1997,273.88954833289603
BDI,1998,281.47089271642199
BDI,1999,272.03086478897302
BDI,2000,264.15440718022302
BDI,2001,262.91388577438403
BDI,2002,266.968141648342
BDI,2003,255.50082338561199
BDI,2004,258.05000911533301
BDI,2005,250.87893347593501
BDI,2006,255.105582251925
BDI,2007,254.31172551633099
BDI,2008,256.01246155449599
BDI,2009,252.582019875886
BDI,2010,253.30857774992401
BDI,2011,254.242110648215
BDI,2012,256.18039393187399
BDI,2013,259.31111720335502
BDI,2014,261.29672175200199
BDI,2015,254.40258522678801
BDI,2016,258.06197080406298
BDI,2017,261.72583928723901
BDI,2018,267.50869217268701
BDI,2019,270.41100571080898
BDI,2020,263.46387636259698
BEL,1990,29609.620751672399
BEL,1991,30040.550840409502
BEL,1992,30376.874534246199
BEL,1993,29967.394424160098
BEL,1994,30839.241433646501
BEL,1995,31508.622663522001
BEL,1996,31862.669386813199
BEL,1997,32991.5010116146
BEL,1998,33566.987591950703
BEL,1999,34676.605155526297
BEL,2000,35878.315358619497
BEL,2001,36148.288092430601
BEL,2002,36600.862592332
BEL,2003,36826.2699296094
BEL,2004,37976.697296744198
BEL,2005,38645.260519336203
