country,year,Rule_of_Law
ABW,1990,
ABW,1991,
ABW,1992,
ABW,1993,
ABW,1994,
ABW,1995,
ABW,1996,
ABW,1997,
ABW,1998,
ABW,1999,
ABW,2000,
ABW,2001,
ABW,2002,
ABW,2003,
ABW,2004,15.5639557242393
ABW,2005,14.406452715396901
ABW,2006,13.777332127094301
ABW,2007,14.0498889684677
ABW,2008,14.402844429016101
ABW,2009,24.245514035225
ABW,2010,24.0739314556122
ABW,2011,22.481792569160401
ABW,2012,22.266401886939999
ABW,2013,21.9734801054001
ABW,2014,17.618078470230099
ABW,2015,20.9436371326446
ABW,2016,20.9329559803009
ABW,2017,22.110535383224502
ABW,2018,21.501991152763299
ABW,2019,20.961532354354802
ABW,2020,21.682867527008
AFG,1990,
AFG,1991,
AFG,1992,
AFG,1993,
AFG,1994,
AFG,1995,
AFG,1996,-30.3972826004028
AFG,1997,
AFG,1998,-29.493075013160698
AFG,1999,
AFG,2000,-30.271232724189801
AFG,2001,
AFG,2002,-28.449045062065199
AFG,2003,-26.490992903709401
AFG,2004,-28.796729445457501
AFG,2005,-28.270414113998299
AFG,2006,-31.943082213401802
AFG,2007,-31.4935207366943
AFG,2008,-32.3562284708023
AFG,2009,-31.894019246101301
AFG,2010,-31.790987014770501
AFG,2011,-32.682502269744802
AFG,2012,-28.082183361053499
AFG,2013,-27.359401583671598
AFG,2014,-24.4343585968018
AFG,2015,-25.715300202369701
AFG,2016,-25.839874863624601
AFG,2017,-26.887179851531901
AFG,2018,-28.688047289848299
AFG,2019,-29.567618370056099
AFG,2020,-31.0991595983505
AGO,1990,
AGO,1991,
AGO,1992,
AGO,1993,
AGO,1994,
AGO,1995,
AGO,1996,-27.717978477477999
AGO,1997,
AGO,1998,-25.964756608009299
AGO,1999,
AGO,2000,-27.225528955459598
AGO,2001,
AGO,2002,-27.766844868660002
AGO,2003,-25.2085505723953
AGO,2004,-25.8555778264999
AGO,2005,-24.9015148878097
AGO,2006,-22.291636586189199
AGO,2007,-23.3772697448731
AGO,2008,-23.435585975647001
AGO,2009,-21.016917467117398
AGO,2010,-21.6402056217193
AGO,2011,-21.709905028343101
AGO,2012,-22.181207418441701
AGO,2013,-21.944592595100399
AGO,2014,-18.2725734710693
AGO,2015,-17.471936821937501
AGO,2016,-17.0284060835838
AGO,2017,-17.636226892471299
AGO,2018,-16.972582399845201
AGO,2019,-17.3224992156028
AGO,2020,-16.054409325122801
ALB,1990,
ALB,1991,
ALB,1992,
ALB,1993,
ALB,1994,
ALB,1995,
ALB,1996,-11.636190593242601
ALB,1997,
ALB,1998,-15.804418981075299
ALB,1999,
ALB,2000,-17.3513504266739
ALB,2001,
ALB,2002,-12.9594640135765
ALB,2003,-12.177499413490301
ALB,2004,-11.9175497889519
ALB,2005,-12.985163807869
ALB,2006,-11.9533094167709
ALB,2007,-11.2462818622589
ALB,2008,-10.20134806633
ALB,2009,-8.4042927622795105
ALB,2010,-6.5579282641410801
ALB,2011,-7.5297499299049298
ALB,2012,-8.8372759819030708
ALB,2013,-8.8178621530532908
ALB,2014,-5.2881921231746603
ALB,2015,-5.36737841367722
ALB,2016,-5.4200331568718001
ALB,2017,-6.97391548752785
ALB,2018,-6.9894371032714897
ALB,2019,-7.1704033315181697
ALB,2020,-6.3274375498294901
AND,1990,
AND,1991,
AND,1992,
AND,1993,
AND,1994,
AND,1995,
AND,1996,19.6921626329422
AND,1997,
AND,1998,20.013317346572901
AND,1999,
AND,2000,21.864813089370799
AND,2001,
AND,2002,20.805290102958701
AND,2003,17.9517161846161
AND,2004,20.3035163879394
AND,2005,16.4253026247025
AND,2006,14.5466591119766
AND,2007,19.860166311264098
AND,2008,20.1685901880264
AND,2009,20.702347040176502
AND,2010,20.364718437194899
AND,2011,23.7876538038254
AND,2012,23.8201922178269
AND,2013,23.8262181282043
AND,2014,27.853491187095699
AND,2015,25.8933777809143
AND,2016,25.8905380964279
AND,2017,26.278933048248302
AND,2018,26.308372735977201
AND,2019,25.861759066581801
AND,2020,27.6850444078446
ARE,1990,
