country,country_name,income_level_code,income_level_name,region_code,region_name,is_aggregate
ABW,Aruba,HIC,High income,LCN,Latin America & Caribbean ,False
AFE,Africa Eastern and Southern,NA,Aggregates,NA,Aggregates,True
AFG,Afghanistan,LIC,Low income,MEA,"Middle East, North Africa, Afghanistan & Pakistan",False
AFR,Africa,NA,Aggregates,NA,Aggregates,True
AFW,Africa Western and Central,NA,Aggregates,NA,Aggregates,True
AGO,Angola,LMC,Lower middle income,SSF,Sub-Saharan Africa ,False
ALB,Albania,UMC,Upper middle income,ECS,Europe & Central Asia,False
AND,Andorra,HIC,High income,ECS,Europe & Central Asia,False
ARB,Arab World,NA,Aggregates,NA,Aggregates,True
ARE,United Arab Emirates,HIC,High income,MEA,"Middle East, North Africa, Afghanistan & Pakistan",False
ARG,Argentina,UMC,Upper middle income,LCN,Latin America & Caribbean ,False
ARM,Armenia,UMC,Upper middle income,ECS,Europe & Central Asia,False
ASM,American Samoa,HIC,High income,EAS,East Asia & Pacific,False
ATG,Antigua and Barbuda,HIC,High income,LCN,Latin America & Caribbean ,False
AUS,Australia,HIC,High income,EAS,East Asia & Pacific,False
AUT,Austria,HIC,High income,ECS,Europe & Central Asia,False
AZE,Azerbaijan,UMC,Upper middle income,ECS,Europe & Central Asia,False
BDI,Burundi,LIC,Low income,SSF,Sub-Saharan Africa ,False
BEA,East Asia & Pacific (IBRD-only countries),NA,Aggregates,NA,Aggregates,True
BEC,Europe & Central Asia (IBRD-only countries),NA,Aggregates,NA,Aggregates,True
BEL,Belgium,HIC,High income,ECS,Europe & Central Asia,False
BEN,Benin,LMC,Lower middle income,SSF,Sub-Saharan Africa ,False
BFA,Burkina Faso,LIC,Low income,SSF,Sub-Saharan Africa ,False
BGD,Bangladesh,LMC,Lower middle income,SAS,South Asia,False
BGR,Bulgaria,HIC,High income,ECS,Europe & Central Asia,False
BHI,IBRD countries classified as high income,NA,Aggregates,NA,Aggregates,True
BHR,Bahrain,HIC,High income,MEA,"Middle East, North Africa, Afghanistan & Pakistan",False
BHS,"Bahamas, The",HIC,High income,LCN,Latin America & Caribbean ,False
BIH,Bosnia and Herzegovina,UMC,Upper middle income,ECS,Europe & Central Asia,False
BLA,Latin America & the Caribbean (IBRD-only countries),NA,Aggregates,NA,Aggregates,True
BLR,Belarus,UMC,Upper middle income,ECS,Europe & Central Asia,False
BLZ,Belize,UMC,Upper middle income,LCN,Latin America & Caribbean ,False
BMN,"Middle East, North Africa, Afghanistan & Pakistan (IBRD only)",NA,Aggregates,NA,Aggregates,True
BMU,Bermuda,HIC,High income,NAC,North America,False
BOL,Bolivia,LMC,Lower middle income,LCN,Latin America & Caribbean ,False
BRA,Brazil,UMC,Upper middle income,LCN,Latin America & Caribbean ,False
BRB,Barbados,HIC,High income,LCN,Latin America & Caribbean ,False
BRN,Brunei Darussalam,HIC,High income,EAS,East Asia & Pacific,False
BSS,Sub-Saharan Africa (IBRD-only countries),NA,Aggregates,NA,Aggregates,True
BTN,Bhutan,LMC,Lower middle income,SAS,South Asia,False
BWA,Botswana,UMC,Upper middle income,SSF,Sub-Saharan Africa ,False
CAA,Sub-Saharan Africa (IFC classification),NA,Aggregates,NA,Aggregates,True
CAF,Central African Republic,LIC,Low income,SSF,Sub-Saharan Africa ,False
CAN,Canada,HIC,High income,NAC,North America,False
CEA,East Asia and the Pacific (IFC classification),NA,Aggregates,NA,Aggregates,True
CEB,Central Europe and the Baltics,NA,Aggregates,NA,Aggregates,True
CEU,Europe and Central Asia (IFC classification),NA,Aggregates,NA,Aggregates,True
CHE,Switzerland,HIC,High income,ECS,Europe & Central Asia,False
CHI,Channel Islands,HIC,High income,ECS,Europe & Central Asia,False
CHL,Chile,HIC,High income,LCN,Latin America & Caribbean ,False
