country,year,GDP_per_capita,Education_Tertiary,Rule_of_Law,CO2_per_capita,income_level_code,Income_Group
ALB,1990,1682.8810874018,8.0117301940918,,1.684,UMC,Low and Middle Income
ALB,1991,1218.96427317362,8.63831043243408,,1.307,UMC,Low and Middle Income
ALB,1992,1138.23773998809,9.12522029876709,,0.767,UMC,Low and Middle Income
ALB,1993,1254.67888414888,11.0173997879028,,0.713,UMC,Low and Middle Income
ALB,1994,1367.22058963712,10.4434404373169,,0.588,UMC,Low and Middle Income
ALB,1995,1558.96638565461,10.0794801712036,,0.641,UMC,Low and Middle Income
ALB,1996,1683.76965547424,11.0262098312378,-11.6361905932426,0.622,UMC,Low and Middle Income
ALB,1997,1495.90035328523,12.8083696365356,,0.478,UMC,Low and Middle Income
ALB,1998,1630.43874131845,13.6314601898193,-15.8044189810753,0.547,UMC,Low and Middle Income
ALB,1999,1841.80762760566,14.7700595855713,,0.937,UMC,Low and Middle Income
ALB,2000,1991.91435867116,15.3867101669312,-17.3513504266739,0.955,UMC,Low and Middle Income
ALB,2001,2188.91854451375,15.4820499420166,,1.023,UMC,Low and Middle Income
ALB,2002,2297.10853513924,16.3895606994629,-12.9594640135765,1.196,UMC,Low and Middle Income
ALB,2003,2428.68934653563,16.3662395477295,-12.1774994134903,1.38,UMC,Low and Middle Income
ALB,2004,2567.29763687121,19.1295795440674,-11.9175497889519,1.348,UMC,Low and Middle Income
ALB,2005,2712.86983830331,22.389009475708,-12.985163807869,1.385,UMC,Low and Middle Income
ALB,2006,2894.36032580174,26.2101001739502,-11.9533094167709,1.282,UMC,Low and Middle Income
ALB,2007,3105.8796756386,30.2319297790527,-11.2462818622589,1.324,UMC,Low and Middle Income
ALB,2008,3345.98161761476,31.6839599609375,-10.20134806633,1.486,UMC,Low and Middle Income
ALB,2009,3459.24695646692,32.9239883422852,-8.40429276227951,1.476,UMC,Low and Middle Income
ALB,2010,3579.82413181046,43.3279304504395,-6.55792826414108,1.645,UMC,Low and Middle Income
ALB,2011,3677.89457937717,49.3997040639925,-7.52974992990493,1.778,UMC,Low and Middle Income
ALB,2012,3771.84781862015,58.6214186004979,-8.83727598190307,1.694,UMC,Low and Middle Income
ALB,2013,3895.89975621942,63.8440585382953,-8.81786215305329,1.839,UMC,Low and Middle Income
ALB,2014,4045.11934884933,65.5507096860696,-5.28819212317466,2.091,UMC,Low and Middle Income
ALB,2015,4199.53912925398,61.9608485481051,-5.36737841367722,1.626,UMC,Low and Middle Income
ALB,2016,4431.55635814168,58.4884791901189,-5.4200331568718,1.572,UMC,Low and Middle Income
ALB,2017,4648.23078660658,58.0177836674929,-6.97391548752785,1.844,UMC,Low and Middle Income
ALB,2018,4893.82375538717,56.0802964109938,-6.98943710327149,1.795,UMC,Low and Middle Income
ALB,2019,5072.43648354739,61.4085141527142,-7.17040333151817,1.712,UMC,Low and Middle Income
ALB,2020,4980.61699524696,61.5853024328899,-6.32743754982949,1.694,UMC,Low and Middle Income
AND,1990,31143.1468757172,,,7.66,HIC,High Income
AND,1991,29642.3059817481,,,7.109,HIC,High Income
AND,1992,28161.9424937627,,,6.693,HIC,High Income
AND,1993,26518.2336337044,,,6.426,HIC,High Income
AND,1994,26587.1383046901,,,6.236,HIC,High Income
AND,1995,27619.5060618267,,,6.648,HIC,High Income
AND,1996,28871.2160752297,,19.6921626329422,7.098,HIC,High Income
AND,1997,31140.6896819813,,,7.19,HIC,High Income
AND,1998,31800.3640678661,,20.0133173465729,7.507,HIC,High Income
AND,1999,32938.6437411832,,,7.804,HIC,High Income
AND,2000,34113.8173783949,,21.8648130893708,7.975,HIC,High Income
AND,2001,36790.1037086022,,,7.954,HIC,High Income
AND,2002,38084.4843108589,7.31105995178223,20.8052901029587,7.986,HIC,High Income
AND,2003,39620.3201605161,8.82861995697021,17.9517161846161,7.696,HIC,High Income
AND,2004,40054.3211531421,8.74967002868652,20.3035163879394,7.59,HIC,High Income
AND,2005,40528.17486238,8.41534996032715,16.4253026247025,7.476,HIC,High Income
AND,2006,41322.0529213846,9.89391040802002,14.5466591119766,6.858,HIC,High Income
AND,2007,40789.1589697748,,19.8601663112641,6.576,HIC,High Income
AND,2008,37775.1261404342,10.986120223999,20.1685901880264,6.449,HIC,High Income
AND,2009,35604.3840098196,,20.7023470401765,6.157,HIC,High Income
AND,2010,36277.2644425331,,20.3647184371949,6.4,HIC,High Income
AND,2011,37637.4868342866,,23.7876538038254,6.311,HIC,High Income
AND,2012,36206.9784356446,12.870249017038,23.8201922178269,6.34,HIC,High Income
AND,2013,35684.1694347737,14.5405405405405,23.8262181282043,6.332,HIC,High Income
AND,2014,37300.6244197096,13.5399673735726,27.8534911870957,6.259,HIC,High Income
AND,2015,38654.9347217207,13.8206896551724,25.8933777809143,6.445,HIC,High Income
AND,2016,40085.020598622,15.2011095700416,25.8905380964279,6.547,HIC,High Income
AND,2017,39361.0622648699,15.6664896441848,26.2789330482483,6.406,HIC,High Income
AND,2018,39242.1448975099,15.7132150886835,26.3083727359772,6.628,HIC,High Income
AND,2019,39346.275035865,15.4352596927579,25.8617590665818,6.419,HIC,High Income
AND,2020,34536.6499222556,15.2605749006777,27.6850444078446,4.876,HIC,High Income
ARG,1990,8115.09386370753,,,3.425,UMC,Low and Middle Income
ARG,1991,8729.82318518892,38.3296699523926,,3.543,UMC,Low and Middle Income
ARG,1992,9293.18692251748,,,3.606,UMC,Low and Middle Income
ARG,1993,9920.67358582437,,,3.456,UMC,Low and Middle Income
ARG,1994,10359.8927204871,37.3899002075195,,3.424,UMC,Low and Middle Income
