country,country_name,income_level_code,Income_Group,complete_years,first_complete_year,last_complete_year,included,coverage_rule
ABW,Aruba,HIC,High Income,13,2004.0,2016.0,False,"at least 15 complete years, 1990-2020"
AFG,Afghanistan,LIC,Low and Middle Income,7,2003.0,2020.0,False,"at least 15 complete years, 1990-2020"
AGO,Angola,LMC,Low and Middle Income,10,1998.0,2016.0,False,"at least 15 complete years, 1990-2020"
ALB,Albania,UMC,Low and Middle Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
AND,Andorra,HIC,High Income,15,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
ARE,United Arab Emirates,HIC,High Income,3,2018.0,2020.0,False,"at least 15 complete years, 1990-2020"
ARG,Argentina,UMC,Low and Middle Income,21,1998.0,2020.0,True,"at least 15 complete years, 1990-2020"
ARM,Armenia,UMC,Low and Middle Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
ASM,American Samoa,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
ATG,Antigua and Barbuda,HIC,High Income,4,2009.0,2012.0,False,"at least 15 complete years, 1990-2020"
AUS,Australia,HIC,High Income,6,2015.0,2020.0,False,"at least 15 complete years, 1990-2020"
AUT,Austria,HIC,High Income,14,2007.0,2020.0,False,"at least 15 complete years, 1990-2020"
AZE,Azerbaijan,UMC,Low and Middle Income,15,2006.0,2020.0,True,"at least 15 complete years, 1990-2020"
BDI,Burundi,LIC,Low and Middle Income,17,1998.0,2018.0,True,"at least 15 complete years, 1990-2020"
BEL,Belgium,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
BEN,Benin,LMC,Low and Middle Income,21,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
BFA,Burkina Faso,LIC,Low and Middle Income,19,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
BGD,Bangladesh,LMC,Low and Middle Income,19,2000.0,2020.0,True,"at least 15 complete years, 1990-2020"
BGR,Bulgaria,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
BHR,Bahrain,HIC,High Income,14,1996.0,2020.0,False,"at least 15 complete years, 1990-2020"
BHS,"Bahamas, The",HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
BIH,Bosnia and Herzegovina,UMC,Low and Middle Income,20,2000.0,2020.0,True,"at least 15 complete years, 1990-2020"
BLR,Belarus,UMC,Low and Middle Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
BLZ,Belize,UMC,Low and Middle Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
BMU,Bermuda,HIC,High Income,12,2006.0,2018.0,False,"at least 15 complete years, 1990-2020"
BOL,Bolivia,LMC,Low and Middle Income,0,,,False,"at least 15 complete years, 1990-2020"
BRA,Brazil,UMC,Low and Middle Income,9,2012.0,2020.0,False,"at least 15 complete years, 1990-2020"
BRB,Barbados,HIC,High Income,14,2000.0,2020.0,False,"at least 15 complete years, 1990-2020"
BRN,Brunei Darussalam,HIC,High Income,21,1998.0,2020.0,True,"at least 15 complete years, 1990-2020"
BTN,Bhutan,LMC,Low and Middle Income,13,2005.0,2020.0,False,"at least 15 complete years, 1990-2020"
BWA,Botswana,UMC,Low and Middle Income,21,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
CAF,Central African Republic,LIC,Low and Middle Income,8,2000.0,2012.0,False,"at least 15 complete years, 1990-2020"
CAN,Canada,HIC,High Income,16,2000.0,2020.0,True,"at least 15 complete years, 1990-2020"
CHE,Switzerland,HIC,High Income,20,2000.0,2020.0,True,"at least 15 complete years, 1990-2020"
CHI,Channel Islands,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
CHL,Chile,HIC,High Income,20,2000.0,2020.0,True,"at least 15 complete years, 1990-2020"
CHN,China,UMC,Low and Middle Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
CIV,Cote d'Ivoire,LMC,Low and Middle Income,12,2007.0,2020.0,False,"at least 15 complete years, 1990-2020"
CMR,Cameroon,LMC,Low and Middle Income,20,2000.0,2020.0,True,"at least 15 complete years, 1990-2020"
COD,"Congo, Dem. Rep.",LIC,Low and Middle Income,9,2006.0,2020.0,False,"at least 15 complete years, 1990-2020"
COG,"Congo, Rep.",LMC,Low and Middle Income,8,2000.0,2017.0,False,"at least 15 complete years, 1990-2020"
COL,Colombia,UMC,Low and Middle Income,19,2000.0,2020.0,True,"at least 15 complete years, 1990-2020"
COM,Comoros,LMC,Low and Middle Income,11,1996.0,2017.0,False,"at least 15 complete years, 1990-2020"
CPV,Cabo Verde,UMC,Low and Middle Income,18,2000.0,2018.0,True,"at least 15 complete years, 1990-2020"
CRI,Costa Rica,HIC,High Income,10,2004.0,2019.0,False,"at least 15 complete years, 1990-2020"
CUB,Cuba,UMC,Low and Middle Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
CUW,Curacao,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
CYM,Cayman Islands,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
CYP,Cyprus,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
CZE,Czechia,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
DEU,Germany,HIC,High Income,8,2013.0,2020.0,False,"at least 15 complete years, 1990-2020"
DJI,Djibouti,LMC,Low and Middle Income,0,,,False,"at least 15 complete years, 1990-2020"
DMA,Dominica,UMC,Low and Middle Income,0,,,False,"at least 15 complete years, 1990-2020"
DNK,Denmark,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
DOM,Dominican Republic,UMC,Low and Middle Income,7,2003.0,2020.0,False,"at least 15 complete years, 1990-2020"
DZA,Algeria,UMC,Low and Middle Income,19,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
ECU,Ecuador,UMC,Low and Middle Income,7,2008.0,2020.0,False,"at least 15 complete years, 1990-2020"
EGY,"Egypt, Arab Rep.",LMC,Low and Middle Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
ERI,Eritrea,LIC,Low and Middle Income,7,1996.0,2010.0,False,"at least 15 complete years, 1990-2020"
ESP,Spain,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
EST,Estonia,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
ETH,Ethiopia,LIC,Low and Middle Income,13,1996.0,2014.0,False,"at least 15 complete years, 1990-2020"
FIN,Finland,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
FJI,Fiji,UMC,Low and Middle Income,10,2003.0,2020.0,False,"at least 15 complete years, 1990-2020"
FRA,France,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
FRO,Faroe Islands,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
FSM,"Micronesia, Fed. Sts.",UMC,Low and Middle Income,1,2000.0,2000.0,False,"at least 15 complete years, 1990-2020"
GAB,Gabon,UMC,Low and Middle Income,1,2003.0,2003.0,False,"at least 15 complete years, 1990-2020"
GBR,United Kingdom,HIC,High Income,20,2000.0,2020.0,True,"at least 15 complete years, 1990-2020"
GEO,Georgia,UMC,Low and Middle Income,21,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
GHA,Ghana,LMC,Low and Middle Income,15,2005.0,2020.0,True,"at least 15 complete years, 1990-2020"
GIB,Gibraltar,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
GIN,Guinea,LMC,Low and Middle Income,13,1996.0,2014.0,False,"at least 15 complete years, 1990-2020"
GMB,"Gambia, The",LIC,Low and Middle Income,4,2004.0,2012.0,False,"at least 15 complete years, 1990-2020"
GNB,Guinea-Bissau,LIC,Low and Middle Income,2,2005.0,2006.0,False,"at least 15 complete years, 1990-2020"
GNQ,Equatorial Guinea,UMC,Low and Middle Income,1,2000.0,2000.0,False,"at least 15 complete years, 1990-2020"
GRC,Greece,HIC,High Income,17,2000.0,2020.0,True,"at least 15 complete years, 1990-2020"
GRD,Grenada,UMC,Low and Middle Income,5,2009.0,2018.0,False,"at least 15 complete years, 1990-2020"
GRL,Greenland,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
GTM,Guatemala,UMC,Low and Middle Income,10,2002.0,2019.0,False,"at least 15 complete years, 1990-2020"
GUM,Guam,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
GUY,Guyana,HIC,High Income,11,1996.0,2012.0,False,"at least 15 complete years, 1990-2020"
HKG,"Hong Kong SAR, China",HIC,High Income,18,2003.0,2020.0,True,"at least 15 complete years, 1990-2020"
HND,Honduras,LMC,Low and Middle Income,15,1996.0,2019.0,True,"at least 15 complete years, 1990-2020"
HRV,Croatia,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
HTI,Haiti,LMC,Low and Middle Income,0,,,False,"at least 15 complete years, 1990-2020"
HUN,Hungary,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
IDN,Indonesia,UMC,Low and Middle Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
